state_code,household_size,household_weight,household_agi,employment_income,fed_income_tax,ca_income_tax,filing_status,is_married_couple,size_bucket,consumption_allowance,rebate_after_phaseout,excess_over_threshold,allowance_no_phaseout,allowance_phaseout
CA,4,60.12606,178594.8125,178095.23828125,18947.2734375,7460.6015625,mfj,1,4,39440.0,8442.20595,78594.8125,39440.0,8442.20595
CA,4,1.9518774,51346.0,0.0,-5640.873046875,5.0,mfj,1,4,39440.0,39440.0,0.0,39440.0,39440.0
CA,5,261.81442,85546.2236328125,112095.2392578125,1803.1590194702148,-145.97166442871094,mfj,1,5,44580.0,44580.0,0.0,44580.0,44580.0
CA,1,770.2476,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,3,108.690765,87949.3984375,89047.62109375,4585.927734375,968.6959228515625,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,3,321.92502,37088.6328125,40438.096435546875,-4915.1025390625,3.0,single,0,3,24860.0,24860.0,0.0,24860.0,24860.0
CA,1,190892.23,68968.7734375,0.0,6585.13037109375,653.9949951171875,single,0,1,14580.0,9048.705665625,18968.7734375,14580.0,9048.705665625
CA,2,174.76369,68665.248046875,82658.19140625,668.9432983398438,774.8925170898438,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,215.94893,20929.814453125,24095.23828125,632.9814453125,-20.77068328857422,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,2,552.61694,257962.625,141428.5703125,38920.3125,15770.025390625,mfj,1,2,29160.0,0.0,157962.625,29160.0,0.0
CA,2,1.5553545,20952.380859375,20952.380859375,635.2380981445312,-49.93110656738281,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,0.28919908,64962.0234375,0.0,5077.7353515625,714.0712280273438,single,0,1,14580.0,10217.073965625,14962.0234375,14580.0,10217.073965625
CA,4,9.300734,31428.572265625,31428.572265625,-10335.2607421875,-133.6504364013672,single,0,4,30000.0,30000.0,0.0,30000.0,30000.0
CA,1,0.44533038,0.0,0.0,0.0,0.0,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,4,192.24362,60066.39843749999,68095.23828125,306.1171417236328,-128.2304992675781,single,0,4,30000.0,23960.160937500004,10066.398437499993,30000.0,23960.160937500004
CA,1,106092.51,15050.2451171875,12571.4287109375,-270.9012451171875,-181.5834197998047,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
CA,4,318.16025,151907.953125,158190.4765625,10937.2177734375,2986.73779296875,single,0,4,30000.0,0.0,101907.953125,30000.0,0.0
CA,3,3.4720566,216486.15869140625,196428.56787109375,29388.49609375,10950.557525634766,mfj,1,3,34300.0,0.0,116486.15869140625,34300.0,0.0
CA,2,1222.0426,0.0,0.0,0.0,0.0,mfj,1,2,29160.0,29160.0,0.0,29160.0,29160.0
CA,1,301.01465,57797.4296875,0.0,3967.10791015625,231.06622314453125,single,0,1,14580.0,12306.269503124999,7797.4296875,14580.0,12306.269503124999
CA,1,26.514448,51551.46875,57619.046875,4202.17626953125,1134.2481689453125,single,0,1,14580.0,14127.5917125,1551.46875,14580.0,14127.5917125
CA,3,343.24265,3314.57568359375,3300.0,0.0,-214.58250427246094,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,2,3.7106287,170920.0625,151904.765625,21284.4140625,7666.849609375,mfj,1,2,29160.0,8479.709775,70920.0625,29160.0,8479.709775
CA,3,814.7103,39047.359375,37714.28515625,-1015.2640380859375,3.0,mfj,1,3,34300.0,34300.0,0.0,34300.0,34300.0
CA,2,239.55957,128614.3515625,0.0,11295.1572265625,1457.0926513671875,mfj,1,2,29160.0,20816.055084375,28614.3515625,29160.0,20816.055084375
CA,1,1860.461,24408.4765625,26190.4765625,980.84765625,8.543746948242188,single,0,1,14580.0,14580.0,0.0,14580.0,14580.0
