household_agi,household_size,filing_status,household_weight,rebate_ptv,rebate_ptv_base
41915.1796875,3,mfj,1394.6986,2276.9640625,2665.0
183583.015625,1,single,2.2058437,0.0,1565.0
0.0,3,mfj,6.284349,2665.0,2665.0
204293.453125,1,single,264.2267,0.0,1565.0
161288.265625,1,single,224.68115,0.0,1565.0
41585.408203125,3,mfj,780.19824,2342.918359375,2665.0
969592.375,5,mfj,537.2496,0.0,3765.0
108492.453125,2,mfj,326.37866,0.0,2115.0
125189.4921875,1,single,460.30344,0.0,1565.0
31428.572265625,1,single,2788.158,0.0,1565.0
43485.64453125,3,mfj,96.55669,1962.87109375,2665.0
324975.5859375,3,mfj,12.014449,0.0,2665.0
8486.2001953125,2,mfj,449.4088,2115.0,2115.0
115374.15625,2,mfj,311.34747,0.0,2115.0
74005.98974609375,5,single,1177.2294,258.80205078125,3765.0
33523.81005859375,3,mfj,73.48695,2665.0,2665.0
563084.83203125,3,mfj,147.12839,0.0,2665.0
74054.625,2,mfj,533.188,0.0,2115.0
41904.76171875,4,single,516.4885,3215.0,3215.0
16761.904296875,3,single,4887.078,2665.0,2665.0
0.0,1,single,2274.578,1565.0,1565.0
58408.53125,1,single,449.27917,0.0,1565.0
0.0,1,single,541.7724,1565.0,1565.0
55844.62890625,5,mfj,187.43814,3765.0,3765.0
314293.3125,3,mfj,0.9324645,0.0,2665.0
58192.609375,3,mfj,1113.1888,0.0,2665.0
22497.37109375,2,mfj,1.2475004,2115.0,2115.0
24792.72265625,1,single,6658.277,1301.45546875,1565.0
41603.64453125,4,mfj,932.47815,3215.0,3215.0
125349.8203125,1,single,1641.43,0.0,1565.0
117857.451171875,3,mfj,5917.5566,0.0,2665.0
44432.77734375,2,mfj,169.13554,0.0,2115.0
0.7287788391113281,1,single,863.38464,1565.0,1565.0
15798.76171875,5,single,1573.8939,3765.0,3765.0
138366.328125,2,mfj,34.95702,0.0,2115.0
40489.546875,1,single,367.58398,0.0,1565.0
196742.7109375,3,mfj,187.9022,0.0,2665.0
180954.75,1,single,11.198361,0.0,1565.0
181104.015625,1,single,178271.33,0.0,1565.0
75497.78125,2,mfj,632.7382,0.0,2115.0
42042.56213760376,3,mfj,1276.3973,2251.4875724792482,2665.0
50154.063232421875,5,single,98.397934,3765.0,3765.0
62857.14453125,3,mfj,2364.0627,0.0,2665.0
46738.8828125,5,mfj,103215.78,3765.0,3765.0
51378.328125,1,single,14872.607,0.0,1565.0
95655.328125,2,mfj,992.8001,0.0,2115.0
85275.74609375,2,mfj,0.009437118,0.0,2115.0
1668275.46875,2,mfj,128.52414,0.0,2115.0
19747.90234375,1,single,82.820915,1565.0,1565.0
26533.333984375,1,single,903.5156,953.3332031250001,1565.0
26651.111328125,2,mfj,191361.58,2115.0,2115.0
171399.640625,1,single,590.0026,0.0,1565.0
102.02903747558594,3,mfj,104.62913,2665.0,2665.0
365059.203125,2,mfj,154.15535,0.0,2115.0
38743.32373046875,7,mfj,110.96071,4865.0,4865.0
11920.10546875,1,single,2.6701622,1565.0,1565.0
152730.078125,2,mfj,161.59538,0.0,2115.0
405803.16796875,3,mfj,33019.992,0.0,2665.0
0.0,1,single,18.12796,1565.0,1565.0
82605.49609375,2,mfj,0.021811312,0.0,2115.0
0.0,1,single,272.9556,1565.0,1565.0
232579.322265625,2,mfj,665.6629,0.0,2115.0
11005.1015625,1,single,8779.785,1565.0,1565.0
152171.345703125,8,mfj,5.215231,0.0,4865.0
302999.625,2,mfj,2.5522776,0.0,2115.0
181453.34204101562,6,mfj,37945.734,0.0,4315.0
89885.359375,1,single,628.24164,0.0,1565.0
256945.953125,2,mfj,266.03036,0.0,2115.0
36666.66796875,1,single,4155.813,0.0,1565.0
119539.1171875,2,mfj,115.90024,0.0,2115.0
220355.296875,2,mfj,261.91617,0.0,2115.0
85777.6171875,2,single,87.25922,0.0,2115.0
247406.28125,2,mfj,5.03506,0.0,2115.0
487807.0625,1,single,145505.95,0.0,1565.0
34777.00927734375,3,mfj,855.86224,2665.0,2665.0
27238.095703125,5,mfj,271111.06,3765.0,3765.0
44665.9143371582,4,mfj,0.53066623,3215.0,3215.0
242999.265625,1,single,82079.26,0.0,1565.0
235904.890625,3,mfj,402.579,0.0,2665.0
84776.125,3,mfj,0.7561912,0.0,2665.0
112706.92578125,2,mfj,9.412352,0.0,2115.0
163377.1171875,4,mfj,436.9988,0.0,3215.0
75871.0234375,2,mfj,282.19818,0.0,2115.0
60416.2314453125,5,single,2001.2927,2976.7537109375,3765.0
36666.3984375,1,single,0.4900165,0.0,1565.0
179288.40625,3,mfj,181.01704,0.0,2665.0
0.0,1,single,42.958313,1565.0,1565.0
504131.4375,2,mfj,11384.447,0.0,2115.0
181101.453125,4,mfj,24.521177,0.0,3215.0
481780.53125,2,mfj,1333.0581,0.0,2115.0
166535.875,3,mfj,423000.7,0.0,2665.0
47357.5703125,4,mfj,51.50447,3215.0,3215.0
260494.72265625,4,mfj,241.39392,0.0,3215.0
29428.572265625,2,single,1848.3275,2115.0,2115.0
73670.599609375,4,single,539.0975,0.0,3215.0
35469.58203125,2,mfj,576.9219,1366.0835937499999,2115.0
95162.2578125,7,mfj,517.3781,427.54843750000003,4865.0
96380.953125,5,mfj,238.01875,0.0,3765.0
48190.4765625,1,single,25342.72,0.0,1565.0
16238.095703125,1,single,704.85986,1565.0,1565.0
21862.76171875,1,single,1453.4777,1565.0,1565.0
60605.7734375,3,mfj,6868.965,0.0,2665.0
74670.71875,3,single,151.20085,0.0,2665.0
269595.375,2,mfj,2.311765,0.0,2115.0
114118.859375,3,mfj,143792.94,0.0,2665.0
63752.2578125,2,mfj,79.27705,0.0,2115.0
260120.78125,1,single,819.9075,0.0,1565.0
0.0,4,single,16.771807,3215.0,3215.0
31588.904296875,1,single,153.67735,0.0,1565.0
171746.96875,2,single,1870.3593,0.0,2115.0
269514.17968749994,4,mfj,900.23096,0.0,3215.0
57619.048828125,9,single,1589.7091,4865.0,4865.0
62737.14453125,2,mfj,31.730558,0.0,2115.0
78185.5546875,1,single,354.76547,0.0,1565.0
36.438941955566406,1,single,18.255749,1565.0,1565.0
119000.2314453125,6,mfj,632.9209,0.0,4315.0
117141.6171875,6,single,931.6217,0.0,4315.0
49406.8037109375,2,mfj,755.67224,0.0,2115.0
48895.638671875,5,mfj,545.3122,3765.0,3765.0
110682.625,2,mfj,45.72344,0.0,2115.0
28907.7265625,1,single,128025.83,478.4546875,1565.0
111348.96356964111,7,mfj,574.1882,0.0,4865.0
51529.61145019531,6,mfj,2640.961,4315.0,4315.0
105123.8359375,1,single,13478.813,0.0,1565.0
272381.65625,1,single,357.02194,0.0,1565.0
101292.720703125,3,mfj,4663.229,0.0,2665.0
49679.484375,2,single,1081.577,0.0,2115.0
112801.8203125,3,mfj,9832.987,0.0,2665.0
37666.9921875,2,mfj,19.990223,926.6015625,2115.0
76432.8828125,3,mfj,62.909084,0.0,2665.0
65102.93035888672,7,mfj,19.853184,4865.0,4865.0
24688.46484375,2,mfj,528.54584,2115.0,2115.0
16855.601806640625,2,mfj,2.460922,2115.0,2115.0
169563.1787109375,6,mfj,317.25516,0.0,4315.0
31997.166015625,2,mfj,10942.407,2060.566796875,2115.0
106221.1640625,1,single,427.3298,0.0,1565.0
6114.2861328125,1,single,332.51688,1565.0,1565.0
48934.9296875,4,mfj,17.114391,3073.0140625,3215.0
101999.5078125,4,mfj,326.64597,0.0,3215.0
23783.88671875,4,mfj,299.16147,3215.0,3215.0
38433.24121093749,4,single,866.511,3215.0,3215.0
59057.44726562501,5,mfj,847.9863,3248.5105468749985,3765.0
27248.099609375,1,single,7474.6733,810.380078125,1565.0
115954.65820312501,8,mfj,9.305492,0.0,4865.0
57146.859375,9,single,756.8139,4865.0,4865.0
0.0,1,single,832.94165,1565.0,1565.0
128881.3046875,4,mfj,142.37355,0.0,3215.0
88605.5,3,mfj,30.609612,0.0,2665.0
79586.0,4,mfj,40.58507,0.0,3215.0
111047.62109375,4,single,0.3100795,0.0,3215.0
671357.5,3,mfj,261.46893,0.0,2665.0
34475.4296875,1,single,203286.88,0.0,1565.0
12828.571044921875,3,mfj,1180.6827,2665.0,2665.0
145056.15625,2,single,2655.2344,0.0,2115.0
35808.3125,5,mfj,567.7223,3765.0,3765.0
46342.857421875,2,mfj,5.695296,0.0,2115.0
12571.4287109375,8,single,4233.933,4865.0,4865.0
162363.609375,6,single,201.94044,0.0,4315.0
355132.3203125,9,mfj,429.59494,0.0,4865.0
73689.78018188477,5,mfj,587.4143,322.0439636230469,3765.0
108592.8515625,5,mfj,1273.3971,0.0,3765.0
157428.53125,1,single,168967.17,0.0,1565.0
0.0,4,single,269234.56,3215.0,3215.0
90987.1796875,2,mfj,1098886.1,0.0,2115.0
3637.5341796875,1,single,617.92834,1565.0,1565.0
33964.76171875,3,mfj,766.76135,2665.0,2665.0
52813.07421875,5,mfj,317.73767,3765.0,3765.0
42186.4033203125,4,mfj,5554.07,3215.0,3215.0
0.7287788391113281,1,single,16.722052,1565.0,1565.0
0.0,1,single,6.391135,1565.0,1565.0
104250.6953125,4,mfj,0.56752926,0.0,3215.0
63238.65625,4,single,166898.03,212.26875,3215.0
94285.7109375,1,single,8.780729,0.0,1565.0
24163.926307678223,3,mfj,424.32993,2665.0,2665.0
44905.4013671875,5,mfj,71.419,3765.0,3765.0
253512.4375,2,mfj,14.729505,0.0,2115.0
209523.8125,1,single,107.50967,0.0,1565.0
172930.015625,4,mfj,1.2132101,0.0,3215.0
49598.95703125,3,mfj,83.09512,740.2085937500001,2665.0
29388.29296875,4,mfj,3763.1382,3215.0,3215.0
0.7287788391113281,2,mfj,3888.4065,2115.0,2115.0
42595.42578125,4,mfj,192.7214,3215.0,3215.0
77261.953125,2,mfj,43.880035,0.0,2115.0
68356.1875,1,single,15550.695,0.0,1565.0
136190.46875,4,mfj,4132.3735,0.0,3215.0
87692.421875,5,mfj,2.4600115,0.0,3765.0
231732.734375,2,mfj,5146.388,0.0,2115.0
3296.426025390625,2,mfj,3.4692032,2115.0,2115.0
41247.69140625,2,mfj,913.1539,210.46171875,2115.0
18049.455604553223,3,mfj,1566.0073,2665.0,2665.0
150573.921875,4,mfj,1524.3337,0.0,3215.0
153191.84967041016,3,mfj,98.48752,0.0,2665.0
256312.125,2,mfj,11683.745,0.0,2115.0
37245.4814453125,3,mfj,1662.1223,2665.0,2665.0
2934.06201171875,3,mfj,357.5807,2665.0,2665.0
32639.173828125,1,single,1961.4194,0.0,1565.0
102855.140625,3,mfj,52944.844,0.0,2665.0
23160.857421875,1,single,6754.769,1565.0,1565.0
127727.505859375,3,mfj,2.5057206,0.0,2665.0
184926.3125,4,mfj,405.76703,0.0,3215.0
69449.49609375,2,mfj,1386.3971,0.0,2115.0
3455.8828125,2,single,102427.984,2115.0,2115.0
