household_agi,household_size,filing_status,household_weight,rebate_flat,rebate_flat_base
21562.2861328125,4,mfj,1178.147,6800.0,6800.0
92955.828125,1,single,0.045315895,0.0,1700.0
4817.14306640625,4,single,183.82866,6800.0,6800.0
105542.921875,2,mfj,6.8879547,3122.85390625,3400.0
346628.0,5,mfj,304.78607,0.0,8500.0
270072.09375,8,mfj,167.36208,5096.395312499999,13600.0
187114.421875,5,mfj,2102.6829,4144.27890625,8500.0
102328.09765625,2,mfj,47693.484,3283.5951171875,3400.0
34499.6953125,3,mfj,85166.14,5100.0,5100.0
83468.39062500001,4,mfj,442.64206,6800.0,6800.0
12371.4287109375,1,single,490.79343,1700.0,1700.0
35904.76171875,3,mfj,131.68205,5100.0,5100.0
9276.7109375,3,mfj,758.1836,5100.0,5100.0
60010.109375,1,single,8173.9336,1199.49453125,1700.0
8607.859375,2,mfj,2.2021565,3400.0,3400.0
191349.109375,1,single,215511.53,0.0,1700.0
31312.281982421875,2,mfj,1770.3824,3400.0,3400.0
98966.255859375,2,mfj,69180.51,3400.0,3400.0
54593.16796875,2,mfj,1.4400218,3400.0,3400.0
14.575576782226562,1,single,49.85779,1700.0,1700.0
96343.533203125,6,mfj,77.72423,10200.0,10200.0
63854.78125,3,mfj,789.6187,5100.0,5100.0
31829.419921875,2,mfj,110.76755,3400.0,3400.0
596282.375,3,mfj,533.8872,0.0,5100.0
97473.015625,2,mfj,0.6383104,3400.0,3400.0
0.7287788391113281,1,single,215879.14,1700.0,1700.0
103637.90625,3,mfj,28.469713,4918.1046875,5100.0
91781.5546875,3,mfj,4.777098,5100.0,5100.0
105585.7109375,1,single,230.53053,0.0,1700.0
103383.90625,2,mfj,15.779268,3230.8046875,3400.0
223607.8190383911,2,mfj,241.48474,0.0,3400.0
26440.57421875,2,mfj,257.3499,3400.0,3400.0
1208.293701171875,1,single,252.12471,1700.0,1700.0
233760.84375,3,single,25.86067,0.0,5100.0
113729.0859375,4,mfj,9.209266,6113.545703125,6800.0
96482.640625,2,mfj,280.34247,3400.0,3400.0
47103.0703125,5,mfj,690.63055,8500.0,8500.0
56993.568359375,3,mfj,462.691,5100.0,5100.0
345298.09375,2,mfj,0.05627936,0.0,3400.0
