decile,weighted_total
1,8150900785.087568
2,7490937150.634068
3,5021481604.3923025
4,7068057473.755535
5,5839538989.490783
6,4728998365.738565
7,4180389671.9684033
8,1741867710.496741
9,0.0
10,0.0
