year,group,mtr_population_weighted,note
2024,decile_1,0.0,rebate_only_exact
2024,decile_2,0.0,rebate_only_exact
2024,decile_3,0.0,rebate_only_exact
2024,decile_4,0.0,rebate_only_exact
2024,decile_5,0.11241178191332668,rebate_only_exact
2024,decile_6,0.014963161083201958,rebate_only_exact
2024,decile_7,0.3342619666197806,rebate_only_exact
2024,decile_8,0.1931665219104536,rebate_only_exact
2024,decile_9,0.01599266550542803,rebate_only_exact
2024,decile_10,0.0,rebate_only_exact
2024,all,0.05788420186801547,rebate_only_exact
